epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0347,1.16416,1.05269,1.29766,0.77456,0.63516,0.69352,0.3503,1.70221,1.4083,1.66842,0.0704,0.00328889,0.00328889
2,78.063,1.19124,1.02461,1.3079,0.69446,0.61382,0.64255,0.30844,1.82828,1.55715,1.77569,0.0403344,0.00655666,0.00655666
3,113.524,1.26215,1.15747,1.35523,0.63478,0.5725,0.59921,0.27765,1.87118,1.69738,1.80174,0.0102029,0.00975844,0.00975844
4,148.759,1.34183,1.30549,1.39921,0.55749,0.50225,0.5254,0.23281,1.90853,1.89894,1.85932,0.009703,0.009703,0.009703
5,183.921,1.38431,1.37462,1.435,0.60961,0.53195,0.56635,0.25345,1.85173,1.76482,1.7976,0.009604,0.009604,0.009604
6,217.744,1.43993,1.44852,1.43971,0.51852,0.50237,0.49281,0.22344,1.99974,1.94579,1.89817,0.009505,0.009505,0.009505
7,253.143,1.43862,1.4849,1.47,0.6105,0.51413,0.53672,0.25157,1.8885,1.84087,1.81628,0.009406,0.009406,0.009406
8,286.862,1.43527,1.45609,1.47266,0.57877,0.54472,0.54476,0.25676,1.88832,1.80282,1.81185,0.009307,0.009307,0.009307
9,320.926,1.44131,1.46225,1.47374,0.55644,0.55661,0.53875,0.24835,1.83904,1.73058,1.77101,0.009208,0.009208,0.009208
10,355.99,1.39498,1.41312,1.4522,0.56833,0.524,0.53756,0.23713,1.96468,1.82748,1.86354,0.009109,0.009109,0.009109
11,390.468,1.41503,1.41155,1.45636,0.6002,0.54413,0.54984,0.24994,1.8744,1.82536,1.83824,0.00901,0.00901,0.00901
12,426.081,1.42787,1.40446,1.46248,0.56095,0.56416,0.56348,0.2625,1.83625,1.6902,1.76303,0.008911,0.008911,0.008911
13,460.598,1.39576,1.35916,1.43393,0.66285,0.53552,0.58546,0.27556,1.81284,1.6838,1.76444,0.008812,0.008812,0.008812
14,496.121,1.36698,1.36134,1.42964,0.64831,0.55139,0.57226,0.26884,1.85833,1.7681,1.78915,0.008713,0.008713,0.008713
15,531.188,1.35854,1.32103,1.40611,0.55741,0.50506,0.52825,0.2535,1.83388,1.73385,1.78633,0.008614,0.008614,0.008614
16,566.918,1.36986,1.33093,1.41457,0.50387,0.49584,0.46275,0.20347,1.98585,1.98608,1.89637,0.008515,0.008515,0.008515
17,603.067,1.35386,1.32193,1.40108,0.64872,0.54371,0.57318,0.27743,1.79841,1.63221,1.72934,0.008416,0.008416,0.008416
18,637.285,1.32823,1.2859,1.3813,0.63786,0.56579,0.59594,0.27516,1.82081,1.60568,1.73967,0.008317,0.008317,0.008317
19,672.985,1.2941,1.26792,1.38618,0.61566,0.57474,0.58053,0.26479,1.85805,1.68377,1.8258,0.008218,0.008218,0.008218
20,707.419,1.35431,1.30912,1.40894,0.63948,0.58293,0.60555,0.28347,1.81668,1.62279,1.76349,0.008119,0.008119,0.008119
21,742.945,1.27598,1.22518,1.35573,0.6798,0.56975,0.62185,0.29352,1.80544,1.59548,1.73944,0.00802,0.00802,0.00802
22,776.733,1.28285,1.19411,1.35326,0.63951,0.58863,0.61595,0.29115,1.78069,1.60256,1.7273,0.007921,0.007921,0.007921
23,811.302,1.31503,1.24206,1.38385,0.68905,0.58655,0.62287,0.28932,1.8076,1.59112,1.75648,0.007822,0.007822,0.007822
24,846.487,1.30267,1.18144,1.35783,0.64713,0.57949,0.60532,0.29553,1.78113,1.53319,1.72078,0.007723,0.007723,0.007723
25,880.529,1.27394,1.15773,1.33979,0.67125,0.56357,0.6107,0.29543,1.82555,1.54947,1.73411,0.007624,0.007624,0.007624
26,915.795,1.26342,1.16865,1.33117,0.66455,0.56164,0.59171,0.27283,1.88077,1.66085,1.79072,0.007525,0.007525,0.007525
27,949.859,1.25718,1.14375,1.31977,0.68999,0.60306,0.63528,0.31231,1.78131,1.52384,1.70745,0.007426,0.007426,0.007426
28,986.166,1.23479,1.10224,1.32412,0.66549,0.56081,0.5891,0.28294,1.83226,1.58551,1.74252,0.007327,0.007327,0.007327
29,1020.36,1.24801,1.11682,1.32339,0.66343,0.57253,0.59276,0.27851,1.88685,1.63542,1.82005,0.007228,0.007228,0.007228
30,1055.43,1.22516,1.0856,1.31118,0.71314,0.57582,0.62005,0.30014,1.81706,1.55533,1.74022,0.007129,0.007129,0.007129
31,1089.83,1.25166,1.09621,1.32761,0.67647,0.57571,0.61424,0.287,1.82475,1.58951,1.70764,0.00703,0.00703,0.00703
32,1123.71,1.21398,1.08279,1.29393,0.71496,0.60645,0.64437,0.30939,1.75749,1.47802,1.6918,0.006931,0.006931,0.006931
33,1158.55,1.23342,1.05401,1.29817,0.69292,0.60566,0.64176,0.32054,1.78817,1.45537,1.70541,0.006832,0.006832,0.006832
34,1192.27,1.18943,1.04229,1.28343,0.71958,0.58452,0.63562,0.3208,1.77174,1.49521,1.69622,0.006733,0.006733,0.006733
35,1227.78,1.19832,1.03226,1.29308,0.70262,0.62914,0.6692,0.31892,1.75228,1.41172,1.67905,0.006634,0.006634,0.006634
36,1261.97,1.1696,1.02358,1.27157,0.71287,0.58857,0.63764,0.30782,1.78689,1.51734,1.73145,0.006535,0.006535,0.006535
37,1297.79,1.16209,1.01444,1.26334,0.72245,0.60578,0.64,0.30704,1.81776,1.48098,1.74573,0.006436,0.006436,0.006436
38,1332.44,1.15869,0.96905,1.25446,0.74268,0.59606,0.6527,0.32876,1.7966,1.3866,1.72769,0.006337,0.006337,0.006337
39,1366.99,1.12648,0.96931,1.23048,0.70247,0.59664,0.6457,0.31746,1.80517,1.44554,1.74229,0.006238,0.006238,0.006238
40,1401.53,1.16695,1.00259,1.25489,0.72775,0.63984,0.676,0.33584,1.75329,1.40354,1.67512,0.006139,0.006139,0.006139
41,1435.61,1.16245,1.02554,1.25529,0.68656,0.65158,0.67987,0.33087,1.75952,1.37825,1.67855,0.00604,0.00604,0.00604
42,1470.07,1.15435,0.99973,1.24581,0.77221,0.57654,0.64773,0.32597,1.75952,1.42485,1.70261,0.005941,0.005941,0.005941
43,1503.99,1.15704,0.98264,1.25122,0.73711,0.60841,0.65937,0.31901,1.78995,1.45135,1.70387,0.005842,0.005842,0.005842
44,1540.33,1.14442,0.95061,1.24479,0.73116,0.62998,0.66563,0.32476,1.80005,1.4068,1.73593,0.005743,0.005743,0.005743
45,1574.26,1.14026,0.93793,1.2415,0.7351,0.58504,0.64909,0.328,1.76717,1.4394,1.69054,0.005644,0.005644,0.005644
46,1608.42,1.09793,0.9222,1.21797,0.7484,0.6297,0.67648,0.34198,1.73686,1.38164,1.67245,0.005545,0.005545,0.005545
47,1643.1,1.10484,0.90166,1.22411,0.75309,0.63078,0.68207,0.33823,1.78227,1.40182,1.69712,0.005446,0.005446,0.005446
48,1676.35,1.07085,0.90248,1.20821,0.7672,0.64219,0.6907,0.34721,1.73885,1.33855,1.68908,0.005347,0.005347,0.005347
49,1711.11,1.08033,0.88415,1.20519,0.77705,0.61856,0.68041,0.33417,1.77059,1.37331,1.70543,0.005248,0.005248,0.005248
50,1745.53,1.07038,0.88241,1.20493,0.7252,0.6476,0.68012,0.3306,1.78083,1.41989,1.69242,0.005149,0.005149,0.005149
51,1780.7,1.06604,0.8745,1.19274,0.76834,0.62898,0.67336,0.33733,1.76371,1.41906,1.68969,0.00505,0.00505,0.00505
52,1815.63,1.05021,0.86028,1.19416,0.76623,0.61791,0.67636,0.33495,1.7616,1.37922,1.69341,0.004951,0.004951,0.004951
53,1850.37,1.06506,0.86574,1.1942,0.78615,0.62682,0.70177,0.34491,1.7313,1.33589,1.65494,0.004852,0.004852,0.004852
54,1885.42,1.04567,0.84269,1.17385,0.76431,0.64049,0.69734,0.35375,1.69304,1.34584,1.62792,0.004753,0.004753,0.004753
55,1920.2,1.04856,0.8394,1.18475,0.74984,0.64092,0.69248,0.34457,1.76421,1.39478,1.71154,0.004654,0.004654,0.004654
56,1955.83,1.04414,0.83057,1.17601,0.74715,0.6333,0.67264,0.33804,1.76374,1.39898,1.71371,0.004555,0.004555,0.004555
57,1990.06,1.02964,0.82457,1.16953,0.74931,0.63947,0.68727,0.34076,1.75699,1.36127,1.69392,0.004456,0.004456,0.004456
58,2025.33,1.01827,0.81375,1.17297,0.74879,0.63726,0.67052,0.33929,1.73928,1.3842,1.70249,0.004357,0.004357,0.004357
59,2059.28,1.01748,0.80554,1.15227,0.77639,0.66003,0.69723,0.34878,1.75569,1.34469,1.6712,0.004258,0.004258,0.004258
60,2093.99,1.01015,0.79537,1.15755,0.76599,0.64295,0.68493,0.34002,1.77172,1.36527,1.71266,0.004159,0.004159,0.004159
61,2127.97,0.97976,0.77084,1.13879,0.74257,0.63058,0.68214,0.34354,1.758,1.35136,1.68791,0.00406,0.00406,0.00406
62,2161.87,0.99313,0.76278,1.1466,0.79234,0.62849,0.69279,0.35358,1.69,1.32818,1.65723,0.003961,0.003961,0.003961
63,2196.45,0.97352,0.76592,1.13971,0.79247,0.6514,0.70636,0.35578,1.74905,1.2848,1.68002,0.003862,0.003862,0.003862
64,2230.7,0.97117,0.78083,1.13363,0.7449,0.647,0.66665,0.33618,1.75934,1.35644,1.69807,0.003763,0.003763,0.003763
65,2266.18,0.96243,0.73274,1.12687,0.75781,0.67098,0.70007,0.35396,1.73839,1.29637,1.66647,0.003664,0.003664,0.003664
66,2301.4,0.97561,0.7466,1.13032,0.78968,0.64646,0.70059,0.34849,1.776,1.34123,1.71469,0.003565,0.003565,0.003565
67,2337.63,0.93176,0.71471,1.11403,0.80856,0.64974,0.71535,0.36625,1.69092,1.30559,1.65795,0.003466,0.003466,0.003466
68,2371.95,0.93158,0.69851,1.10885,0.79111,0.62787,0.68638,0.33919,1.7627,1.33988,1.73329,0.003367,0.003367,0.003367
69,2406.93,0.94249,0.71613,1.11881,0.74686,0.64884,0.68424,0.34618,1.75902,1.34,1.70611,0.003268,0.003268,0.003268
70,2440.71,0.93779,0.70102,1.10727,0.81848,0.64391,0.71185,0.36237,1.72167,1.3167,1.67867,0.003169,0.003169,0.003169
71,2474.44,0.89992,0.69122,1.10058,0.81995,0.65554,0.71486,0.36922,1.69481,1.25312,1.65025,0.00307,0.00307,0.00307
72,2509.79,0.92349,0.70124,1.10551,0.7656,0.67096,0.70518,0.36496,1.71478,1.26525,1.67167,0.002971,0.002971,0.002971
73,2544.26,0.91704,0.69114,1.10301,0.83033,0.64717,0.70387,0.36453,1.7093,1.27532,1.65831,0.002872,0.002872,0.002872
74,2579.61,0.90444,0.68229,1.09585,0.81032,0.66856,0.71178,0.3638,1.73096,1.26255,1.693,0.002773,0.002773,0.002773
75,2613.76,0.89747,0.69393,1.08813,0.81223,0.64786,0.70555,0.36852,1.70487,1.28529,1.66365,0.002674,0.002674,0.002674
76,2648.31,0.89782,0.67521,1.08817,0.81667,0.64369,0.71073,0.37421,1.69111,1.26114,1.6549,0.002575,0.002575,0.002575
77,2682.43,0.88149,0.66334,1.0803,0.79551,0.63897,0.69462,0.35739,1.73622,1.33195,1.68436,0.002476,0.002476,0.002476
78,2716.7,0.87271,0.65948,1.07636,0.78347,0.65045,0.69209,0.36247,1.71654,1.27098,1.6721,0.002377,0.002377,0.002377
79,2751.73,0.88191,0.67126,1.08398,0.8143,0.64608,0.70497,0.36311,1.71514,1.24081,1.67977,0.002278,0.002278,0.002278
80,2785.34,0.86386,0.67007,1.07062,0.81388,0.65061,0.71921,0.36841,1.69949,1.24028,1.66254,0.002179,0.002179,0.002179
81,2820.57,0.84964,0.63038,1.06274,0.82003,0.6413,0.71809,0.37601,1.68382,1.2354,1.65164,0.00208,0.00208,0.00208
82,2854.8,0.86659,0.64223,1.06919,0.82569,0.65507,0.7172,0.37387,1.70029,1.21416,1.66156,0.001981,0.001981,0.001981
83,2889.48,0.85284,0.6328,1.05678,0.8282,0.6568,0.71708,0.37,1.69117,1.25576,1.64884,0.001882,0.001882,0.001882
84,2923.77,0.84694,0.64144,1.07168,0.79978,0.64968,0.7078,0.36589,1.69034,1.28406,1.65767,0.001783,0.001783,0.001783
85,2957.76,0.85243,0.63038,1.05801,0.80122,0.66473,0.71356,0.37245,1.67118,1.25515,1.65594,0.001684,0.001684,0.001684
86,2992.5,0.84051,0.60752,1.05771,0.80943,0.65159,0.71078,0.36729,1.6993,1.25763,1.68165,0.001585,0.001585,0.001585
87,3027.37,0.82373,0.61298,1.04907,0.81287,0.66885,0.71063,0.36764,1.68176,1.23953,1.66172,0.001486,0.001486,0.001486
88,3062.47,0.81471,0.59799,1.04974,0.78052,0.67847,0.72095,0.37709,1.67247,1.24816,1.6538,0.001387,0.001387,0.001387
89,3096.92,0.81677,0.60538,1.045,0.79344,0.66417,0.72103,0.37668,1.6718,1.25405,1.66622,0.001288,0.001288,0.001288
90,3130.82,0.77379,0.58704,1.03876,0.77753,0.66625,0.71619,0.37858,1.68373,1.24102,1.67394,0.001189,0.001189,0.001189
91,3168.32,0.8042,0.54849,1.05113,0.82426,0.63884,0.70388,0.36033,1.7043,1.27114,1.69931,0.00109,0.00109,0.00109
92,3201.26,0.77029,0.51039,1.0303,0.8116,0.65361,0.70293,0.36553,1.69007,1.31027,1.67653,0.000991,0.000991,0.000991
93,3235.34,0.75233,0.48949,1.0155,0.81737,0.66046,0.7136,0.36777,1.69145,1.29802,1.67834,0.000892,0.000892,0.000892
94,3268.72,0.75366,0.47683,1.011,0.82549,0.65302,0.70871,0.36816,1.68592,1.28463,1.6851,0.000793,0.000793,0.000793
95,3301.75,0.72975,0.45809,1.00786,0.79866,0.65914,0.71116,0.37365,1.6942,1.28165,1.68164,0.000694,0.000694,0.000694
96,3335.78,0.74385,0.47033,1.00525,0.8045,0.64361,0.70852,0.37563,1.68509,1.2689,1.67765,0.000595,0.000595,0.000595
97,3368.81,0.72114,0.46758,0.99826,0.81795,0.64777,0.71399,0.38364,1.66634,1.25842,1.66604,0.000496,0.000496,0.000496
98,3401.16,0.72084,0.4702,0.99917,0.83029,0.65815,0.71517,0.38436,1.66367,1.2693,1.66075,0.000397,0.000397,0.000397
99,3435.21,0.71527,0.4669,1.00319,0.81873,0.66771,0.71573,0.38237,1.66502,1.26065,1.66698,0.000298,0.000298,0.000298
100,3468.34,0.69894,0.45121,0.98795,0.80929,0.66078,0.71723,0.38192,1.67123,1.26676,1.67137,0.000199,0.000199,0.000199
