epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1106,1.35228,1.46152,1.39976,0.66936,0.5749,0.60631,0.30037,1.74393,1.65027,1.66782,0.0704,0.00328889,0.00328889
2,70.628,1.34883,1.42186,1.3922,0.63888,0.55171,0.56834,0.27109,1.77861,1.77524,1.68175,0.0403344,0.00655666,0.00655666
3,103.323,1.4272,1.54055,1.43911,0.62695,0.4944,0.52581,0.25078,1.81606,1.97306,1.72027,0.0102029,0.00975844,0.00975844
4,135.344,1.51646,1.72928,1.4929,0.51206,0.46751,0.44664,0.19699,2.00438,2.17603,1.81067,0.009703,0.009703,0.009703
5,168.454,1.52715,1.69404,1.49941,0.54267,0.47974,0.48343,0.21846,1.95348,2.04939,1.80687,0.009604,0.009604,0.009604
6,200.161,1.57493,1.80442,1.52066,0.59057,0.43436,0.48201,0.22035,1.893,2.13925,1.80487,0.009505,0.009505,0.009505
7,232.184,1.57406,1.7887,1.53789,0.57545,0.49477,0.49695,0.22561,1.92494,2.01546,1.79066,0.009406,0.009406,0.009406
8,264.01,1.56624,1.77424,1.53211,0.56747,0.46498,0.48577,0.22133,1.88818,2.07162,1.7826,0.009307,0.009307,0.009307
9,296.24,1.56215,1.77179,1.52902,0.48543,0.45108,0.42176,0.18771,1.91934,2.18013,1.7863,0.009208,0.009208,0.009208
10,327.951,1.54178,1.75311,1.52256,0.51777,0.46819,0.48116,0.21487,1.87674,1.97963,1.752,0.009109,0.009109,0.009109
11,360.152,1.55199,1.73257,1.52612,0.53629,0.39927,0.3958,0.1751,2.06002,2.5292,1.87343,0.00901,0.00901,0.00901
12,391.981,1.56206,1.74221,1.54326,0.52913,0.49005,0.49561,0.22785,1.84041,1.94758,1.73907,0.008911,0.008911,0.008911
13,424.284,1.53773,1.70978,1.50771,0.65636,0.46824,0.52742,0.24152,1.91503,1.957,1.77575,0.008812,0.008812,0.008812
14,456.767,1.49528,1.69529,1.49412,0.60809,0.45191,0.48803,0.23189,1.90484,2.00343,1.78005,0.008713,0.008713,0.008713
15,488.406,1.51354,1.70552,1.50092,0.58231,0.47373,0.49899,0.23235,1.8617,2.02549,1.78677,0.008614,0.008614,0.008614
