epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6253,1.89728,3.24487,1.90619,0.70978,0.28635,0.25795,0.11099,2.05593,2.74514,1.99948,0.0704,0.00328889,0.00328889
2,72.822,1.72096,2.3705,1.76539,0.45227,0.32295,0.33186,0.15358,2.06177,2.66962,1.95943,0.0402689,0.0064911,0.0064911
3,107.51,1.76819,2.30611,1.71913,0.37734,0.25844,0.24838,0.10119,2.32993,3.03634,2.06273,0.0100058,0.00956132,0.00956132
4,141.366,1.81618,2.30883,1.7472,0.3896,0.31782,0.26442,0.09291,2.14956,2.68749,2.12387,0.009406,0.009406,0.009406
5,175.707,1.82368,2.20707,1.81141,0.46355,0.2889,0.32269,0.13514,2.20285,2.80574,2.16265,0.009208,0.009208,0.009208
6,209.806,1.83519,2.20736,1.79409,0.40836,0.37823,0.33415,0.13288,2.11164,2.60201,2.00557,0.00901,0.00901,0.00901
7,244.819,1.79074,2.20104,1.76955,0.48454,0.40369,0.40352,0.1615,2.01034,2.28374,1.94085,0.008812,0.008812,0.008812
8,278.667,1.78364,2.11005,1.73805,0.41454,0.41391,0.37207,0.15795,2.02573,2.24024,1.93322,0.008614,0.008614,0.008614
9,312.696,1.73202,2.05057,1.71601,0.38478,0.4269,0.37552,0.15962,2.02539,2.30227,1.95697,0.008416,0.008416,0.008416
10,346.911,1.72364,2.04318,1.7275,0.51546,0.40628,0.40983,0.16421,2.06591,2.37594,1.9311,0.008218,0.008218,0.008218
11,384.984,1.70017,1.97075,1.68606,0.63693,0.33171,0.42031,0.18564,1.92303,2.14014,1.84867,0.00802,0.00802,0.00802
12,419.501,1.70282,1.96099,1.68566,0.50515,0.41057,0.44083,0.20506,1.86711,2.01458,1.81241,0.007822,0.007822,0.007822
13,453.038,1.6655,1.91511,1.66325,0.63271,0.40387,0.45572,0.20126,1.95379,2.11173,1.87053,0.007624,0.007624,0.007624
14,488.737,1.62505,1.87479,1.63866,0.47909,0.44863,0.42657,0.18924,1.92569,2.08909,1.81489,0.007426,0.007426,0.007426
15,522.423,1.63524,1.86829,1.63867,0.45906,0.4138,0.40508,0.17742,1.96426,2.24695,1.85393,0.007228,0.007228,0.007228
16,557.455,1.60017,1.83539,1.61713,0.49261,0.49087,0.46788,0.19873,1.93657,1.96149,1.83897,0.00703,0.00703,0.00703
17,591.812,1.59232,1.80981,1.61327,0.51194,0.48856,0.46389,0.21409,1.83651,1.96782,1.79716,0.006832,0.006832,0.006832
18,625.725,1.5566,1.77095,1.5851,0.62198,0.4887,0.5144,0.2314,1.85786,1.8369,1.79264,0.006634,0.006634,0.006634
19,660.375,1.51667,1.68973,1.56771,0.60817,0.49839,0.5147,0.23809,1.82406,1.86901,1.7659,0.006436,0.006436,0.006436
20,694.395,1.54449,1.7368,1.5852,0.56015,0.52596,0.51896,0.23399,1.91423,1.84332,1.8191,0.006238,0.006238,0.006238
21,729.152,1.50974,1.63901,1.56397,0.61823,0.53823,0.55475,0.26173,1.79795,1.7151,1.76321,0.00604,0.00604,0.00604
22,762.621,1.4781,1.5652,1.53316,0.59742,0.54332,0.53481,0.24476,1.8519,1.78772,1.77607,0.005842,0.005842,0.005842
23,796.187,1.5112,1.62218,1.55137,0.61195,0.53495,0.55513,0.26013,1.80515,1.74315,1.73077,0.005644,0.005644,0.005644
24,830.898,1.50976,1.56827,1.53608,0.60765,0.52016,0.53222,0.2558,1.77401,1.76134,1.73967,0.005446,0.005446,0.005446
25,864.539,1.46284,1.53528,1.52386,0.60672,0.54238,0.56628,0.26682,1.78708,1.73073,1.73162,0.005248,0.005248,0.005248
26,899.333,1.43471,1.49528,1.48988,0.60713,0.55239,0.5579,0.25279,1.81495,1.78719,1.7306,0.00505,0.00505,0.00505
27,933.596,1.43334,1.48782,1.47636,0.62772,0.51789,0.55079,0.2603,1.78272,1.72315,1.69891,0.004852,0.004852,0.004852
28,967.232,1.40666,1.45763,1.46645,0.63778,0.56827,0.58139,0.2778,1.80428,1.6203,1.72346,0.004654,0.004654,0.004654
