epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2537.82,1.30078,1.23815,1.40491,0.73533,0.58286,0.63791,0.30924,1.72519,1.51991,1.6882,0.005842,0.005842,0.005842
44,2588.21,1.28909,1.1915,1.39997,0.73912,0.60227,0.65339,0.31526,1.76437,1.50378,1.76052,0.005743,0.005743,0.005743
45,2641.79,1.27779,1.17367,1.40207,0.71722,0.59438,0.63236,0.31186,1.72452,1.50314,1.70248,0.005644,0.005644,0.005644
46,2692.62,1.22335,1.14784,1.35754,0.77102,0.60234,0.66317,0.33583,1.67242,1.41252,1.6656,0.005545,0.005545,0.005545
47,2743.88,1.23569,1.13094,1.35833,0.69272,0.6009,0.66433,0.31845,1.76563,1.47483,1.72685,0.005446,0.005446,0.005446
48,2793.86,1.19704,1.10715,1.33409,0.74079,0.60746,0.66701,0.32801,1.74274,1.45276,1.69328,0.005347,0.005347,0.005347
49,2844.78,1.2002,1.07738,1.34156,0.7913,0.62398,0.68811,0.34187,1.69949,1.40536,1.68641,0.005248,0.005248,0.005248
50,2895.64,1.19922,1.08721,1.33943,0.76932,0.61648,0.68347,0.3359,1.72958,1.40414,1.71402,0.005149,0.005149,0.005149
51,2945.81,1.1791,1.05193,1.31981,0.75357,0.60313,0.66303,0.33469,1.70705,1.43589,1.68102,0.00505,0.00505,0.00505
52,2997.14,1.16442,1.0533,1.31429,0.73024,0.63783,0.68617,0.34314,1.71623,1.38183,1.69781,0.004951,0.004951,0.004951
53,3048.08,1.16345,1.03799,1.31769,0.75581,0.63155,0.69992,0.33978,1.706,1.3601,1.69213,0.004852,0.004852,0.004852
54,3098.22,1.15509,1.00283,1.30041,0.77129,0.62642,0.67816,0.33709,1.73759,1.40924,1.71873,0.004753,0.004753,0.004753
55,3149.05,1.15547,0.98221,1.2972,0.80316,0.62452,0.68708,0.33589,1.75938,1.43596,1.73942,0.004654,0.004654,0.004654
56,3199.04,1.14616,1.00599,1.28643,0.77511,0.63424,0.68343,0.34691,1.71553,1.3855,1.70507,0.004555,0.004555,0.004555
57,3249.92,1.15094,0.97896,1.2844,0.79816,0.58048,0.66869,0.32882,1.7969,1.41836,1.77814,0.004456,0.004456,0.004456
58,3300.48,1.13272,0.94306,1.2891,0.7605,0.62737,0.6898,0.34933,1.71739,1.37183,1.70722,0.004357,0.004357,0.004357
59,3350.75,1.12879,0.94537,1.26903,0.77304,0.62506,0.69863,0.34532,1.72837,1.39358,1.68306,0.004258,0.004258,0.004258
60,3401.18,1.10712,0.90314,1.26893,0.74882,0.63506,0.69426,0.35475,1.72532,1.38042,1.70181,0.004159,0.004159,0.004159
