epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1416.03,0.93224,0.7535,1.10942,0.80973,0.64464,0.70911,0.3582,1.7134,1.37713,1.6468,0.0005941,0.0005941,0.0005941
43,1449.42,0.93326,0.75406,1.11025,0.77884,0.64856,0.70077,0.35376,1.72167,1.36161,1.66055,0.0005842,0.0005842,0.0005842
44,1482.54,0.93114,0.75063,1.10754,0.7944,0.6527,0.70215,0.35655,1.7149,1.35213,1.65158,0.0005743,0.0005743,0.0005743
45,1515.3,0.93396,0.76247,1.11044,0.81265,0.64508,0.70823,0.35706,1.71399,1.35819,1.654,0.0005644,0.0005644,0.0005644
46,1548.51,0.92911,0.7374,1.10749,0.84318,0.63476,0.7071,0.35557,1.72894,1.36662,1.6653,0.0005545,0.0005545,0.0005545
47,1582,0.93654,0.75428,1.10363,0.81663,0.65235,0.71092,0.36274,1.70608,1.34438,1.65196,0.0005446,0.0005446,0.0005446
48,1614.63,0.90612,0.73975,1.09213,0.82414,0.65408,0.71423,0.35986,1.71371,1.34841,1.64857,0.0005347,0.0005347,0.0005347
49,1647.31,0.91321,0.72802,1.09425,0.79852,0.65845,0.71038,0.36055,1.70883,1.34341,1.64218,0.0005248,0.0005248,0.0005248
50,1680.03,0.90869,0.73562,1.09614,0.82972,0.64239,0.7062,0.3606,1.70836,1.33814,1.64935,0.0005149,0.0005149,0.0005149
51,1713.98,0.90874,0.73917,1.10664,0.81638,0.64533,0.70696,0.35815,1.71831,1.36338,1.65668,0.000505,0.000505,0.000505
52,1747.69,0.91285,0.74281,1.10522,0.80062,0.64675,0.70512,0.35619,1.72956,1.36493,1.66401,0.0004951,0.0004951,0.0004951
53,1781.31,0.93288,0.74756,1.10318,0.8109,0.63853,0.70068,0.35541,1.71798,1.36648,1.64962,0.0004852,0.0004852,0.0004852
54,1814.54,0.92824,0.76385,1.1056,0.82383,0.6325,0.70536,0.3589,1.71207,1.37815,1.64728,0.0004753,0.0004753,0.0004753
55,1847.15,0.91412,0.73086,1.10504,0.77775,0.64076,0.69861,0.35315,1.71996,1.381,1.65192,0.0004654,0.0004654,0.0004654
56,1880.46,0.90794,0.73865,1.09387,0.82053,0.64079,0.70628,0.35729,1.70705,1.36836,1.64058,0.0004555,0.0004555,0.0004555
57,1913.45,0.90402,0.73651,1.08525,0.82662,0.65077,0.71381,0.36186,1.69897,1.35106,1.63483,0.0004456,0.0004456,0.0004456
58,1946.06,0.90002,0.70453,1.08433,0.81463,0.65662,0.71022,0.35916,1.70865,1.35926,1.64711,0.0004357,0.0004357,0.0004357
59,1979.77,0.91471,0.70907,1.09554,0.84086,0.63502,0.70668,0.35634,1.71751,1.36963,1.65097,0.0004258,0.0004258,0.0004258
60,2012.88,0.9118,0.73174,1.0948,0.81143,0.65254,0.70592,0.35552,1.72878,1.35746,1.6624,0.0004159,0.0004159,0.0004159
61,2044.77,0.90129,0.70795,1.0883,0.82795,0.6401,0.70627,0.35969,1.71644,1.3643,1.65162,0.000406,0.000406,0.000406
62,2078.62,0.92707,0.73371,1.10063,0.83771,0.63859,0.71098,0.36076,1.72271,1.35433,1.6586,0.0003961,0.0003961,0.0003961
63,2112.96,0.9047,0.74068,1.09101,0.78164,0.66187,0.71197,0.36333,1.70763,1.35237,1.64122,0.0003862,0.0003862,0.0003862
64,2145,0.9058,0.7162,1.09917,0.8097,0.65512,0.71217,0.36131,1.72165,1.35149,1.65652,0.0003763,0.0003763,0.0003763
65,2177.64,0.90821,0.7434,1.0935,0.81861,0.65435,0.71679,0.36273,1.70979,1.34323,1.65251,0.0003664,0.0003664,0.0003664
66,2210.67,0.92118,0.73103,1.10019,0.8058,0.64842,0.71145,0.36112,1.71117,1.3589,1.65676,0.0003565,0.0003565,0.0003565
67,2244.86,0.91511,0.72088,1.09725,0.82498,0.63648,0.70181,0.35535,1.72251,1.37826,1.65739,0.0003466,0.0003466,0.0003466
68,2277.07,0.92177,0.73365,1.10999,0.81989,0.64648,0.70616,0.35964,1.70426,1.35958,1.6475,0.0003367,0.0003367,0.0003367
69,2310.51,0.87126,0.69587,1.07596,0.7965,0.65562,0.70787,0.35743,1.72248,1.37389,1.65744,0.0003268,0.0003268,0.0003268
70,2344.41,0.91232,0.74849,1.08715,0.81647,0.64527,0.70409,0.35748,1.70907,1.37011,1.65025,0.0003169,0.0003169,0.0003169
71,2377,0.8899,0.71651,1.08526,0.80126,0.65263,0.70892,0.35925,1.70393,1.35243,1.6453,0.000307,0.000307,0.000307
72,2410.19,0.9184,0.73064,1.0878,0.82363,0.64279,0.70994,0.36151,1.70584,1.36006,1.64249,0.0002971,0.0002971,0.0002971
73,2442.85,0.89346,0.71185,1.086,0.82039,0.65539,0.71448,0.36005,1.7061,1.36058,1.63876,0.0002872,0.0002872,0.0002872
74,2476.93,0.87819,0.70041,1.0803,0.83434,0.64559,0.71193,0.36107,1.71403,1.3701,1.64605,0.0002773,0.0002773,0.0002773
75,2510.29,0.87687,0.69753,1.0751,0.84821,0.64642,0.71641,0.36147,1.70967,1.35152,1.6499,0.0002674,0.0002674,0.0002674
